Country,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
China,81116,39,3231,13,Local transmission,0
Republic of Korea,8320,84,81,6,Local transmission,0
Japan,829,15,28,4,Local transmission,0
Malaysia,553,0,0,0,Local transmission,1
Australia,375,77,5,0,Local transmission,0
Singapore,243,0,0,0,Local transmission,1
Philippines,187,47,12,0,Local transmission,0
Viet Nam,61,4,0,0,Local transmission,0
Brunei Darussalam,50,0,0,0,Local transmission,1
Cambodia,24,12,0,0,Local transmission,0
New Zealand,11,5,0,0,Local transmission,0
Mongolia,4,3,0,0,Imported cases only,0
French Polynesia,3,0,0,0,Imported cases only,2
Guam,3,3,0,0,Local transmission,0
Italy,27980,3233,2503,349,Local transmission,0
Spain,9191,1438,309,21,Local transmission,0
France,6573,1193,148,21,Local transmission,0
Germany,6012,1174,13,1,Local transmission,0
Switzerland,2200,0,14,1,Local transmission,1
The United Kingdom,1547,152,55,20,Local transmission,0
Netherlands,1413,278,24,4,Local transmission,0
Norway,1169,92,3,2,Local transmission,0
Austria,1132,173,3,2,Local transmission,0
Belgium,1085,0,5,0,Local transmission,1
Sweden,1059,67,3,0,Local transmission,0
Denmark,960,62,4,3,Local transmission,0
Czechia,383,85,0,0,Local transmission,0
Greece,331,0,4,0,Local transmission,1
Portugal,331,86,0,0,Local transmission,0
Israel,250,50,0,0,Local transmission,0
Finland,272,5,0,0,Local transmission,0
Slovenia,253,34,0,0,Local transmission,0
Ireland,223,54,2,0,Local transmission,0
Estonia,205,0,0,0,Local transmission,1
Iceland,199,19,0,0,Local transmission,0
Romania,158,0,0,0,Local transmission,1
Poland,150,0,3,0,Local transmission,1
San Marino,102,10,9,4,Local transmission,0
Russian Federation,93,30,0,0,Imported cases only,0
Luxembourg,81,43,1,0,Local transmission,0
Slovakia,72,11,0,0,Local transmission,0
Bulgaria,67,16,2,0,Local transmission,0
Serbia,70,24,0,0,Local transmission,0
Croatia,56,7,0,0,Local transmission,0
Armenia,52,26,0,0,Local transmission,0
Albania,51,9,1,0,Local transmission,0
Hungary,50,11,1,0,Local transmission,0
Turkey,47,42,0,0,Imported cases only,0
Belarus,36,0,0,0,Local transmission,1
Latvia,36,5,0,0,Imported cases only,0
Cyprus,33,0,0,0,Imported cases only,1
Georgia,33,0,0,0,Imported cases only,1
Malta,30,9,0,0,Imported cases only,0
Republic of Moldova,29,6,0,0,Local transmission,0
Azerbaijan,19,0,0,0,Imported cases only,2
Bosnia and Herzegovina,19,0,0,0,Local transmission,1
North Macedonia,19,6,0,0,Local transmission,0
Lithuania,17,3,0,0,Imported cases only,0
Andorra,14,12,0,0,Imported cases only,0
Monaco,9,0,0,0,Under investigation,1
Liechtenstein,7,0,0,0,Imported cases only,1
Ukraine,7,4,1,0,Local transmission,0
Kazakhstan,6,0,0,0,Imported cases only,2
Uzbekistan,4,0,0,0,Under investigation,1
Holy See,1,0,0,0,Under investigation,11
Faroe Islands,47,36,0,0,Imported cases only,0
Gibraltar,3,2,0,0,Under investigation,0
Jersey,2,0,0,0,Imported cases only,4
Guernsey,1,0,0,0,Imported cases only,7
Indonesia,172,55,5,1,Local transmission,0
